,group,names,scores,logfoldchanges,pvals,pvals_adj
287,COVID,CFL1,2.893389,0.23003834,0.004165293323629684,0.2563487124269595
288,COVID,PELI1,2.8866653,1.4126163,0.004100195979923423,0.253264785695196
289,COVID,MZF1-AS1,2.885908,1.7527832,0.004079655329394567,0.2526300487642317
290,COVID,MT-ND4,2.8780472,0.08285174,0.0042405080798290085,0.2588778314679241
291,COVID,PLXND1,2.8769534,1.685388,0.00421170304993598,0.25824308407286356
292,COVID,FAM8A1,2.8725266,2.1734297,0.004239260071358323,0.2588778314679241
293,COVID,LINC02055,2.872162,25.193588,0.0042959584863612055,0.26101462679769527
294,COVID,MRPL54,2.861074,1.1440213,0.0044737104445380475,0.269823904864522
295,COVID,PTMA,2.8564773,0.22393844,0.0046020501101073285,0.2736418301235883
296,COVID,ATF7IP2,2.8558362,0.9973451,0.004542028594745189,0.2705543129244206
297,COVID,BLOC1S4,2.85369,1.251771,0.004540706194872556,0.2705543129244206
298,COVID,ZBTB21,2.8531482,1.6002645,0.0045231752137849385,0.270474848213491
299,COVID,IFI27L1,2.8521435,1.8970811,0.0045245066927414625,0.270474848213491
300,COVID,SVIL,2.8445346,2.5736408,0.004622212575414941,0.27435253575957563
301,COVID,SFXN2,2.8411024,24.967163,0.0047280452181996035,0.2760787780645231
302,COVID,TUBB1,2.8374162,2.216147,0.004721769859174174,0.2760787780645231
303,COVID,CLPB,2.8352308,25.024591,0.004814033421341343,0.27928915771000634
304,COVID,PMS2CL,2.831008,25.000526,0.004876751258419159,0.2806462374901316
305,COVID,NUDT4,2.830252,1.6907406,0.0048538371735753535,0.28044575379886966
306,COVID,TYMP,2.826707,1.1573031,0.004935818138877782,0.2824319088131487
307,COVID,AFF3,2.8249931,0.6921195,0.005032680565876696,0.2850459092710195
308,COVID,ARL17A,2.823392,25.055202,0.004991745798481688,0.28413784046796464
309,COVID,HLA-F,2.8232646,0.72218645,0.005092077712687922,0.2852376748807169
310,COVID,ADAM19,2.8213563,0.6904766,0.005112717302111055,0.2852376748807169
